Country_Name,Country_Code,GNI_per_capita
Kiribati,KIR,2270
St. Kitts and Nevis,KNA,15690
"Korea, Rep.",KOR,27600
Kuwait,KWT,34890
Latin America & Caribbean (excluding high income),LAC,7955
Lao PDR,LAO,2150
Lebanon,LBN,7980
Liberia,LBR,370
Libya,LBY,
St. Lucia,LCA,8400
Latin America & Caribbean,LCN,8260
Least developed countries: UN classification,LDC,952
Low income,LIC,612
Liechtenstein,LIE,
Sri Lanka,LKA,3780
Lower middle income,LMC,2079
Low & middle income,LMY,4442
Lesotho,LSO,1270
Late-demographic dividend,LTE,8336
Lithuania,LTU,14750
Luxembourg,LUX,71470
Latvia,LVA,14570
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,2850
Monaco,MCO,
Moldova,MDA,2120
Madagascar,MDG,400
Maldives,MDV,10630
Middle East & North Africa,MEA,7654
Mexico,MEX,9040
Marshall Islands,MHL,4630
Middle income,MIC,4893
"Macedonia, FYR",MKD,4980
Mali,MLI,770
Malta,MLT,24210
Myanmar,MMR,1190
Middle East & North Africa (excluding high income),MNA,4042
Montenegro,MNE,7120
Mongolia,MNG,3590
Northern Mariana Islands,MNP,
Mozambique,MOZ,480
Mauritania,MRT,1130
Mauritius,MUS,9770
Malawi,MWI,320
Malaysia,MYS,9860
North America,NAC,55494
Namibia,NAM,4640
New Caledonia,NCL,
Niger,NER,370
Nigeria,NGA,2450
Nicaragua,NIC,2100
Netherlands,NLD,46640
Norway,NOR,82440
Nepal,NPL,730
Nauru,NRU,10750
New Zealand,NZL,38750
OECD members,OED,37254
Oman,OMN,
Other small states,OSS,
Pakistan,PAK,1500
Panama,PAN,12140
Peru,PER,5950
Philippines,PHL,3580
Palau,PLW,12330
Papua New Guinea,PNG,2680
Poland,POL,12690
Pre-demographic dividend,PRE,1470
Puerto Rico,PRI,
"Korea, Dem. People? Rep.",PRK,
Portugal,PRT,19880
Paraguay,PRY,4060
West Bank and Gaza,PSE,3230
Pacific island small states,PSS,3698
Post-demographic dividend,PST,41368
French Polynesia,PYF,
Qatar,QAT,
Romania,ROU,9480
Russian Federation,RUS,9720
Rwanda,RWA,700
South Asia,SAS,1611
Saudi Arabia,SAU,21720
Sudan,SDN,2140
Senegal,SEN,950
Singapore,SGP,51880
Solomon Islands,SLB,1880
Sierra Leone,SLE,490
El Salvador,SLV,3920
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,5310
Sub-Saharan Africa (excluding high income),SSA,1515
South Sudan,SSD,
Sub-Saharan Africa,SSF,1516
Small states,SST,
Sao Tome and Principe,STP,1720
Suriname,SUR,6990
Slovak Republic,SVK,16810
Slovenia,SVN,21620
Sweden,SWE,54590
Swaziland,SWZ,2960
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15410
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,720
East Asia & Pacific (IDA & IBRD countries),TEA,6744
Europe & Central Asia (IDA & IBRD countries),TEC,8110
Togo,TGO,540
Thailand,THA,5640
Tajikistan,TJK,1110
Turkmenistan,TKM,6670
Latin America & the Caribbean (IDA & IBRD countries),TLA,8225
Timor-Leste,TLS,2060
Middle East & North Africa (IDA & IBRD countries),TMN,4051
Tonga,TON,4060
South Asia (IDA & IBRD),TSA,1611
Sub-Saharan Africa (IDA & IBRD countries),TSS,1516
Trinidad and Tobago,TTO,16240
Tunisia,TUN,3690
Turkey,TUR,11230
Tuvalu,TUV,5090
Tanzania,TZA,900
Uganda,UGA,630
Ukraine,UKR,2310
Upper middle income,UMC,8177
Uruguay,URY,15230
United States,USA,56810
Uzbekistan,UZB,2220
St. Vincent and the Grenadines,VCT,6770
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2100
Vanuatu,VUT,
World,WLD,10316
Samoa,WSM,4120
Kosovo,XKX,3850
"Yemen, Rep.",YEM,1040
South Africa,ZAF,5490
Zambia,ZMB,1360
Zimbabwe,ZWE,890
